Data 2020,Data 2021,aggiornamento,X,Filter,2020/21,2021/22,unità
25/12/20,25/12/21,22/02/22,25/12,Incidenza,182,435,nuovi casi settimanali ogni 100.000 abitanti
26/12/20,26/12/21,22/02/22,26/12,Incidenza,171,436,nuovi casi settimanali ogni 100.000 abitanti
27/12/20,27/12/21,22/02/22,27/12,Incidenza,161,460,nuovi casi settimanali ogni 100.000 abitanti
28/12/20,28/12/21,22/02/22,28/12,Incidenza,157,541,nuovi casi settimanali ogni 100.000 abitanti
29/12/20,29/12/21,22/02/22,29/12,Incidenza,154,645,nuovi casi settimanali ogni 100.000 abitanti
30/12/20,30/12/21,22/02/22,30/12,Incidenza,156,784,nuovi casi settimanali ogni 100.000 abitanti
31/12/20,31/12/21,22/02/22,31/12,Incidenza,166,941,nuovi casi settimanali ogni 100.000 abitanti
01/01/21,01/01/22,22/02/22,1/1,Incidenza,171,1098,nuovi casi settimanali ogni 100.000 abitanti
02/01/21,02/01/22,22/02/22,2/1,Incidenza,174,1169,nuovi casi settimanali ogni 100.000 abitanti
03/01/21,03/01/22,22/02/22,3/1,Incidenza,183,1243,nuovi casi settimanali ogni 100.000 abitanti
04/01/21,04/01/22,22/02/22,4/1,Incidenza,186,1409,nuovi casi settimanali ogni 100.000 abitanti
05/01/21,05/01/22,22/02/22,5/1,Incidenza,193,1573,nuovi casi settimanali ogni 100.000 abitanti
06/01/21,06/01/22,22/02/22,6/1,Incidenza,201,1740,nuovi casi settimanali ogni 100.000 abitanti
07/01/21,07/01/22,22/02/22,7/1,Incidenza,192,1689,nuovi casi settimanali ogni 100.000 abitanti
08/01/21,08/01/22,22/02/22,8/1,Incidenza,184,1784,nuovi casi settimanali ogni 100.000 abitanti
09/01/21,09/01/22,22/02/22,9/1,Incidenza,198,1944,nuovi casi settimanali ogni 100.000 abitanti
10/01/21,10/01/22,22/02/22,10/1,Incidenza,205,2000,nuovi casi settimanali ogni 100.000 abitanti
11/01/21,11/01/22,22/02/22,11/1,Incidenza,208,2082,nuovi casi settimanali ogni 100.000 abitanti
12/01/21,12/01/22,22/02/22,12/1,Incidenza,206,2093,nuovi casi settimanali ogni 100.000 abitanti
13/01/21,13/01/22,22/02/22,13/1,Incidenza,198,2033,nuovi casi settimanali ogni 100.000 abitanti
14/01/21,14/01/22,22/02/22,14/1,Incidenza,197,2161,nuovi casi settimanali ogni 100.000 abitanti
15/01/21,15/01/22,22/02/22,15/1,Incidenza,194,2127,nuovi casi settimanali ogni 100.000 abitanti
16/01/21,16/01/22,22/02/22,16/1,Incidenza,188,2111,nuovi casi settimanali ogni 100.000 abitanti
17/01/21,17/01/22,22/02/22,17/1,Incidenza,178,2076,nuovi casi settimanali ogni 100.000 abitanti
18/01/21,18/01/22,22/02/22,18/1,Incidenza,171,2053,nuovi casi settimanali ogni 100.000 abitanti
19/01/21,19/01/22,22/02/22,19/1,Incidenza,165,2040,nuovi casi settimanali ogni 100.000 abitanti
20/01/21,20/01/22,22/02/22,20/1,Incidenza,161,2039,nuovi casi settimanali ogni 100.000 abitanti
21/01/21,21/01/22,22/02/22,21/1,Incidenza,155,2021,nuovi casi settimanali ogni 100.000 abitanti
22/01/21,22/01/22,22/02/22,22/1,Incidenza,151,2000,nuovi casi settimanali ogni 100.000 abitanti
23/01/21,23/01/22,22/02/22,23/1,Incidenza,146,1978,nuovi casi settimanali ogni 100.000 abitanti
