Data;0-19 anni;20-49 anni;50-69 anni;>70 anni;PZ;0-19 anni;20-49 anni;50-69 anni;>70 anni
MARZO;988;20284;30777;29804;81853;1.2%;24.8%;37.6%;36.4%
APRILE;2241;30417;32152;42495;107305;2.1%;28.3%;30.0%;39.6%
MAGGIO;1414;14008;10990;17910;44322;3.2%;31.6%;24.8%;40.4%
GIUGNO;611;3822;2553;2394;9380;6.5%;40.7%;27.2%;25.5%
LUGLIO;754;3289;1280;859;6182;12.2%;53.2%;20.7%;13.9%
AGOSTO;2010;9024;2401;1027;14462;13.9%;62.4%;16.6%;7.1%
SETTEMBRE;7023;26452;12867;4942;51263;13.7%;51.6%;25.1%;9.6%
OTTOBRE;53250;156422;84535;38606;332813;16.0%;47.0%;25.4%;11.6%
NOVEMBRE;101434;406656;269260;143851;922123;11.0%;44.1%;29.2%;15.6%
DICEMBRE;35606;112009;81568;51523;280706;12.7%;39.9%;29.1%;18.4%
GENNAIO;298653;972337;703852;444991;2419833;12.3%;40.2%;29.1%;18.4%
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
